date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:31	199/199	---M-Z	200	added ('OK')	text/plain	etag:%22160-510f2d90eeb2e-gzip%22	http://www.normalesup.org/robots.txt		(from )
22:15:32	6607/6607	---M-Z	200	added ('OK')	text/html	etag:%2219cf-516e8e40f8780-gzip%22	http://www.normalesup.org/~sage/Colles/	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/index.html	(from )
22:15:32	4909/4909	---M-Z	200	added ('OK')	text/html	etag:%22132d-516e88a6a4f80-gzip%22	http://www.normalesup.org/~sage/Colles/0Prelimin/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:32	5828/5828	---M-Z	200	added ('OK')	text/html	etag:%2216c4-4dc776b48e180-gzip%22	http://www.normalesup.org/~sage/Colles/AlgComm/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgComm/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:32	4934/4934	---M-Z	200	added ('OK')	text/html	etag:%221346-4bbc9e6369500-gzip%22	http://www.normalesup.org/~sage/Colles/AlgLin/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgLin/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:32	5250/5250	---M-Z	200	added ('OK')	text/html	etag:%221482-4bbc9d2b8f540-gzip%22	http://www.normalesup.org/~sage/Colles/AnalRC1/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC1/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:33	2303/2303	---M-Z	200	added ('OK')	text/html	etag:%228ff-4bbc9e940c7c0-gzip%22	http://www.normalesup.org/~sage/Colles/AnalRC2/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC2/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:33	2929/2929	---M-Z	200	added ('OK')	text/html	etag:%22b71-4bbc9ebfeaf40-gzip%22	http://www.normalesup.org/~sage/Colles/AnalVectFonc/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalVectFonc/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:33	3957/3957	---M-Z	200	added ('OK')	text/html	etag:%22f75-516e912ca6b80-gzip%22	http://www.normalesup.org/~sage/Colles/Geom/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/index.html	(from http://www.normalesup.org/~sage/Colles/)
22:15:57	141538/141538	---M--	200	added ('OK')	application/pdf	etag:%22228e2-516388b252400%22	http://www.normalesup.org/~sage/Colles/0Prelimin/LogNicod.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/LogNicod.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:15:57	177935/177935	---M--	200	added ('OK')	application/pdf	etag:%222b70f-4f7f06ab06740%22	http://www.normalesup.org/~sage/Colles/0Prelimin/IntroLog.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/IntroLog.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:15:59	158370/158370	---M--	200	added ('OK')	application/pdf	etag:%2226aa2-51638b5956600%22	http://www.normalesup.org/~sage/Colles/0Prelimin/LogWajsberg.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/LogWajsberg.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:15	254327/254327	---M--	200	added ('OK')	application/pdf	etag:%223e177-4adf012cca380%22	http://www.normalesup.org/~sage/Colles/0Prelimin/EnsApp.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/EnsApp.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:18	127237/127237	---M--	200	added ('OK')	application/pdf	etag:%221f105-46feb16f51200%22	http://www.normalesup.org/~sage/Colles/0Prelimin/InjSurj.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/InjSurj.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:18	114612/114612	---M--	200	added ('OK')	application/pdf	etag:%221bfb4-43cc45a889640%22	http://www.normalesup.org/~sage/Colles/0Prelimin/RelBin.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/RelBin.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:34	96567/96567	---M--	200	added ('OK')	application/pdf	etag:%2217937-4962909146640%22	http://www.normalesup.org/~sage/Colles/0Prelimin/AxioComp.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/AxioComp.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:34	317/317	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202017%2021:16:34%20GMT	http://www.normalesup.org/~sage/Colles/0Prelimin/AxioPoly.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/AxioPoly.11.delayed	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:35	233715/233715	---M--	200	added ('OK')	application/pdf	etag:%22390f3-454263e075140%22	http://www.normalesup.org/~sage/Colles/0Prelimin/Combinat.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/Combinat.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:35	6607/6607	---M-Z	200	added ('OK')	text/html	etag:%2219cf-516e8e40f8780-gzip%22	http://www.normalesup.org/~sage/Colles/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/index-2.html	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:39	148796/148796	---M--	200	added ('OK')	application/pdf	etag:%222453c-4ccfdcaad7480%22	http://www.normalesup.org/~sage/Colles/0Prelimin/DMstruct.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/DMstruct.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:49	90657/90657	---M--	200	added ('OK')	application/pdf	etag:%2216221-4962909bc3f00%22	http://www.normalesup.org/~sage/Colles/0Prelimin/AxioMat.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/AxioMat.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:16:51	203908/203908	---M--	200	added ('OK')	application/pdf	etag:%2231c84-4fc22f8142500%22	http://www.normalesup.org/~sage/Colles/0Prelimin/Proba.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/Proba.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:17:12	200439/200439	---M--	200	added ('OK')	application/pdf	etag:%2230ef7-4500aca5f9780%22	http://www.normalesup.org/~sage/Colles/AlgComm/Arith.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgComm/Arith.pdf	(from http://www.normalesup.org/~sage/Colles/AlgComm/index.html)
22:17:14	153064/153064	---M--	200	added ('OK')	application/pdf	etag:%22255e8-42ec8d0303600%22	http://www.normalesup.org/~sage/Colles/AlgComm/Polynome1.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgComm/Polynome1.pdf	(from http://www.normalesup.org/~sage/Colles/AlgComm/index.html)
22:17:16	155707/155707	---M--	200	added ('OK')	application/pdf	etag:%222603b-4210ae11ce740%22	http://www.normalesup.org/~sage/Colles/AlgComm/Polynom2.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgComm/Polynom2.pdf	(from http://www.normalesup.org/~sage/Colles/AlgComm/index.html)
22:17:31	348070/348070	---M--	200	added ('OK')	application/pdf	etag:%2254fa6-4ca7768710940%22	http://www.normalesup.org/~sage/Colles/AlgComm/ANO.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgComm/ANO.pdf	(from http://www.normalesup.org/~sage/Colles/AlgComm/index.html)
22:17:46	212344/212344	---M--	200	added ('OK')	application/pdf	etag:%2233d78-4618b14d9a940%22	http://www.normalesup.org/~sage/Colles/AlgLin/EspacesV.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgLin/EspacesV.pdf	(from http://www.normalesup.org/~sage/Colles/AlgLin/index.html)
22:17:52	219689/219689	---M--	200	added ('OK')	application/pdf	etag:%2235a29-4670b0f6dd500%22	http://www.normalesup.org/~sage/Colles/AlgLin/Matrices1.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgLin/Matrices1.pdf	(from http://www.normalesup.org/~sage/Colles/AlgLin/index.html)
22:18:08	135761/135761	---M--	200	added ('OK')	application/pdf	etag:%2221251-430fd355d2ac0%22	http://www.normalesup.org/~sage/Colles/AlgLin/Reduc1.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgLin/Reduc1.pdf	(from http://www.normalesup.org/~sage/Colles/AlgLin/index.html)
22:18:13	132210/132210	---M--	200	added ('OK')	application/pdf	etag:%2220472-4213fd344cb80%22	http://www.normalesup.org/~sage/Colles/AlgLin/Reduc2.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgLin/Reduc2.pdf	(from http://www.normalesup.org/~sage/Colles/AlgLin/index.html)
22:18:14	263778/263778	---M--	200	added ('OK')	application/pdf	etag:%2240662-53e5c7ea1ce80%22	http://www.normalesup.org/~sage/Colles/AlgLin/Determin.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AlgLin/Determin.pdf	(from http://www.normalesup.org/~sage/Colles/AlgLin/index.html)
